                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9044,                 6.0633,                 1.1769,                      0,                      0,                      0,                      0,                 3.0315,                 8.3082,                 1.0417,             0.00040012,             0.00040012,             0.00040012
                      2,                 2.5493,                 4.3675,                 1.0238,                      0,                      0,                      0,                      0,                 2.2528,                 6.4042,                0.99207,              0.0007984,              0.0007984,              0.0007984
                      3,                 2.2781,                 3.3164,                0.98583,                0.00233,                0.22309,                0.06636,                0.01797,                 2.2517,                 5.5855,                0.99891,              0.0011803,              0.0011803,              0.0011803
                      4,                 2.2737,                 2.8913,                0.99214,                0.73161,                0.10953,                 0.1338,                 0.0564,                 2.2456,                 5.2021,                 1.0126,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.0095,                 2.3176,                0.94997,                0.88546,                0.21006,                0.39529,                0.15977,                   2.13,                 3.8636,                 1.0098,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.9258,                 2.0577,                0.93958,                0.78029,                0.57917,                0.66148,                 0.2996,                 1.8815,                   2.46,                0.98131,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.9398,                 2.0259,                0.91064,                0.76587,                0.59384,                0.68046,                0.33019,                 1.6973,                 2.2714,                 0.9252,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.8531,                 1.7697,                0.93419,                0.76546,                0.56669,                0.68861,                0.32756,                 1.7725,                 2.0819,                0.93928,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.8128,                 1.6163,                0.89985,                 0.7894,                0.69383,                0.78827,                0.37719,                 1.6671,                 1.8428,                0.92218,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.7047,                 1.4936,                0.90987,                0.90062,                0.66044,                0.79974,                0.41581,                 1.5658,                 1.6363,                0.91066,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.7953,                  1.492,                0.89924,                0.72511,                0.76823,                0.79247,                0.38508,                 1.6892,                  1.601,                0.92175,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.6729,                 1.3446,                0.89145,                0.77425,                0.78291,                0.81684,                0.41499,                 1.6039,                 1.4786,                0.91062,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.6279,                  1.285,                0.88748,                0.70726,                0.80273,                0.83364,                 0.4206,                 1.5587,                  1.372,                0.90025,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.6551,                 1.2559,                0.89296,                0.78436,                0.77489,                 0.8337,                0.42797,                 1.5274,                 1.2709,                0.90078,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.6187,                 1.1717,                0.88415,                0.80498,                0.77867,                 0.8291,                0.42382,                  1.516,                 1.2418,                0.89643,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.5547,                 1.1097,                0.88146,                0.84839,                0.79488,                 0.8539,                0.43583,                 1.5371,                 1.2127,                0.90135,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.5701,                 1.1299,                0.89483,                0.79144,                0.76614,                0.81691,                0.40763,                  1.639,                  1.239,                0.90039,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.5922,                 1.1231,                0.88324,                0.84134,                0.79555,                0.86143,                0.45241,                 1.4636,                 1.2087,                0.88811,               0.000948,               0.000948,               0.000948
                     19,                 1.5291,                 1.0422,                0.86978,                0.81847,                0.78541,                0.85232,                0.45153,                  1.464,                 1.1633,                0.88663,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.4913,                 1.0368,                 0.8557,                0.81055,                0.77784,                0.85955,                0.43791,                 1.5478,                 1.0951,                0.89911,             0.00089141,             0.00089141,             0.00089141
                     21,                  1.488,                 0.9767,                0.86578,                0.83276,                0.79914,                0.87564,                0.47153,                 1.3929,                 1.0494,                0.88158,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.5387,                 1.0015,                0.87454,                 0.8861,                0.70442,                0.86331,                0.47474,                 1.4091,                 1.0252,                0.87722,             0.00083482,             0.00083482,             0.00083482
                     23,                   1.52,                 1.0242,                0.86495,                0.83334,                0.84317,                0.88271,                0.48263,                 1.3798,                 1.0344,                0.88591,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.4807,                0.97283,                0.86245,                0.85619,                0.80069,                0.87522,                0.47831,                 1.3698,                 1.0018,                0.87568,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.4568,                0.94741,                0.85849,                0.84791,                0.77953,                 0.8651,                0.48255,                 1.4132,                 1.0121,                0.87896,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.4191,                0.91612,                0.85802,                0.84567,                0.82857,                0.88811,                 0.4969,                    1.4,                0.96184,                 0.8769,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.4373,                0.93095,                0.86831,                 0.8584,                0.75552,                0.86171,                0.46882,                 1.4804,                 1.0269,                0.88632,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.4082,                0.86025,                0.86548,                0.82985,                0.84295,                0.86831,                 0.4935,                 1.2982,                0.90643,                0.87469,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.4464,                0.89469,                0.86007,                0.83829,                0.82778,                0.88472,                0.49021,                 1.3609,                0.88699,                0.87328,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.4161,                  0.884,                0.86563,                0.84415,                0.83172,                0.89036,                0.51759,                 1.3228,                0.88013,                0.87226,             0.00060847,             0.00060847,             0.00060847
                     31,                  1.385,                0.85524,                0.84572,                 0.8378,                0.82718,                0.87632,                0.49754,                 1.3937,                0.91491,                0.87713,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.3328,                0.81474,                 0.8509,                0.81158,                0.85936,                0.89901,                0.52591,                 1.2755,                0.85946,                0.87589,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.3875,                0.83155,                0.86099,                0.85493,                0.84665,                0.90355,                0.53654,                 1.2539,                0.82199,                0.87137,             0.00052359,             0.00052359,             0.00052359
